pole,eq_lon90,eq_lon135,eq_lon180
4.91700161595218e-06,1.85635216643354e-06,1.71871122350806e-06,5.20634459045775e-07
4.88153074621992e-06,1.84266192339652e-06,1.69622518896183e-06,5.07620481403655e-07
4.84605987648765e-06,1.82897168035949e-06,1.67373915441559e-06,4.94606503761536e-07
4.81058900675539e-06,1.81528143732247e-06,1.65125311986935e-06,4.81592526119416e-07
4.77511813702312e-06,1.80159119428544e-06,1.62876708532311e-06,4.68578548477295e-07
4.73964726729085e-06,1.78790095124841e-06,1.60628105077688e-06,4.55564570835176e-07
4.70417639755859e-06,1.77421070821139e-06,1.58379501623064e-06,4.42550593193056e-07
4.66870552782632e-06,1.76052046517436e-06,1.5613089816844e-06,4.29536615550936e-07
4.63323465809406e-06,1.74683022213734e-06,1.53882294713816e-06,4.16522637908817e-07
4.59776378836179e-06,1.73313997910031e-06,1.51633691259193e-06,4.03508660266697e-07
4.56229291862953e-06,1.71944973606329e-06,1.49385087804569e-06,3.90494682624578e-07
4.53130938237531e-06,1.71017343942749e-06,1.47755522007135e-06,3.83470097504584e-07
4.50032584612109e-06,1.70089714279169e-06,1.46125956209702e-06,3.76445512384592e-07
4.46934230986688e-06,1.6916208461559e-06,1.44496390412268e-06,3.69420927264601e-07
4.43835877361266e-06,1.6823445495201e-06,1.42866824614835e-06,3.62396342144609e-07
4.40737523735844e-06,1.6730682528843e-06,1.41237258817402e-06,3.55371757024617e-07
4.37639170110423e-06,1.66379195624851e-06,1.39607693019968e-06,3.48347171904625e-07
4.34540816485001e-06,1.65451565961271e-06,1.37978127222535e-06,3.41322586784633e-07
4.31442462859579e-06,1.64523936297692e-06,1.36348561425101e-06,3.3429800166464e-07
4.28344109234157e-06,1.63596306634112e-06,1.34718995627668e-06,3.27273416544649e-07
4.25245755608736e-06,1.62668676970532e-06,1.33089429830234e-06,3.20248831424657e-07
4.22522559751567e-06,1.62060826567546e-06,1.31918207240617e-06,3.17454377741085e-07
4.19799363894397e-06,1.6145297616456e-06,1.30746984651e-06,3.14659924057513e-07
4.17076168037228e-06,1.60845125761574e-06,1.29575762061383e-06,3.11865470373941e-07
4.14352972180059e-06,1.60237275358588e-06,1.28404539471767e-06,3.09071016690369e-07
4.11629776322889e-06,1.59629424955601e-06,1.2723331688215e-06,3.06276563006797e-07
4.0890658046572e-06,1.59021574552615e-06,1.26062094292533e-06,3.03482109323225e-07
4.06183384608551e-06,1.58413724149629e-06,1.24890871702916e-06,3.00687655639653e-07
4.03460188751382e-06,1.57805873746643e-06,1.23719649113299e-06,2.97893201956081e-07
4.00736992894213e-06,1.57198023343657e-06,1.22548426523682e-06,2.95098748272509e-07
3.98013797037043e-06,1.56590172940671e-06,1.21377203934065e-06,2.92304294588937e-07
3.9560600823628e-06,1.56210105857968e-06,1.20542895782581e-06,2.92426546215179e-07
3.93198219435516e-06,1.55830038775265e-06,1.19708587631098e-06,2.92548797841421e-07
3.90790430634752e-06,1.55449971692563e-06,1.18874279479614e-06,2.92671049467662e-07
3.88382641833988e-06,1.5506990460986e-06,1.1803997132813e-06,2.92793301093904e-07
3.85974853033224e-06,1.54689837527157e-06,1.17205663176646e-06,2.92915552720146e-07
3.8356706423246e-06,1.54309770444455e-06,1.16371355025163e-06,2.93037804346388e-07
3.81159275431696e-06,1.53929703361752e-06,1.15537046873679e-06,2.93160055972629e-07
3.78751486630932e-06,1.53549636279049e-06,1.14702738722195e-06,2.93282307598871e-07
3.76343697830168e-06,1.53169569196347e-06,1.13868430570711e-06,2.93404559225113e-07
3.73935909029404e-06,1.52789502113644e-06,1.13034122419228e-06,2.93526810851355e-07
3.71794756499929e-06,1.52567876422381e-06,1.12445147727473e-06,2.95590062627526e-07
3.69653603970454e-06,1.52346250731117e-06,1.11856173035719e-06,2.97653314403698e-07
3.67512451440979e-06,1.52124625039854e-06,1.11267198343964e-06,2.99716566179869e-07
