pole,eq_lon90,eq_lon135,eq_lon180
2.49201902107803e-05,9.48507445020533e-06,9.19657103521261e-06,3.11530752967848e-06
2.51922815128861e-05,9.58964865366412e-06,9.25295693850391e-06,3.11005456991254e-06
2.54643728149919e-05,9.69422285712291e-06,9.3093428417952e-06,3.10480161014661e-06
2.57364641170977e-05,9.7987970605817e-06,9.36572874508649e-06,3.09954865038067e-06
2.60085554192036e-05,9.90337126404051e-06,9.42211464837779e-06,3.09429569061473e-06
2.62806467213094e-05,1.00079454674993e-05,9.47850055166908e-06,3.08904273084879e-06
2.65527380234152e-05,1.01125196709581e-05,9.53488645496038e-06,3.08378977108286e-06
2.6824829325521e-05,1.02170938744169e-05,9.59127235825167e-06,3.07853681131692e-06
2.70969206276269e-05,1.03216680778757e-05,9.64765826154296e-06,3.07328385155098e-06
2.73690119297327e-05,1.04262422813345e-05,9.70404416483425e-06,3.06803089178504e-06
2.76411032318385e-05,1.05308164847933e-05,9.76043006812555e-06,3.06277793201911e-06
2.75425821292195e-05,1.05093721266882e-05,9.68659784626793e-06,3.02452305846693e-06
2.74440610266005e-05,1.04879277685832e-05,9.6127656244103e-06,2.98626818491475e-06
2.73455399239814e-05,1.04664834104782e-05,9.53893340255267e-06,2.94801331136258e-06
2.72470188213624e-05,1.04450390523731e-05,9.46510118069504e-06,2.9097584378104e-06
2.71484977187434e-05,1.04235946942681e-05,9.39126895883741e-06,2.87150356425822e-06
2.70499766161243e-05,1.04021503361631e-05,9.31743673697978e-06,2.83324869070605e-06
2.69514555135053e-05,1.0380705978058e-05,9.24360451512216e-06,2.79499381715387e-06
2.68529344108863e-05,1.0359261619953e-05,9.16977229326452e-06,2.75673894360169e-06
2.67544133082673e-05,1.0337817261848e-05,9.09594007140689e-06,2.71848407004951e-06
2.66558922056482e-05,1.03163729037429e-05,9.02210784954926e-06,2.68022919649734e-06
2.65340178224165e-05,1.02990467240625e-05,8.95835762981962e-06,2.66235224422488e-06
